item	itemLabel
http://www.wikidata.org/entity/Q961118	Gema Umbrasienė
http://www.wikidata.org/entity/Q999869	Márta Fenyő
http://www.wikidata.org/entity/Q1031550	Katalin Gönczöl
http://www.wikidata.org/entity/Q1044254	Carola Reinsberg
http://www.wikidata.org/entity/Q1044483	Caroline Eliacheff
http://www.wikidata.org/entity/Q1082701	Christiane Hutcap
http://www.wikidata.org/entity/Q1077636	Chris Paul
http://www.wikidata.org/entity/Q891849	Nagima Dzhakipbekova
http://www.wikidata.org/entity/Q986917	Katalin Dér
http://www.wikidata.org/entity/Q992664	Brunhilde Raiser
http://www.wikidata.org/entity/Q1008427	Noémi Gaskó
http://www.wikidata.org/entity/Q1019048	Bärbel Schwertfeger
http://www.wikidata.org/entity/Q1044594	Caroline von Heydebrand
http://www.wikidata.org/entity/Q1067169	Charlotte E. Schedl
http://www.wikidata.org/entity/Q1067218	Charlotte Höhn
http://www.wikidata.org/entity/Q1078068	Christa Grengel
http://www.wikidata.org/entity/Q1082734	Christiane Kunst
http://www.wikidata.org/entity/Q990144	Anna Erdei
http://www.wikidata.org/entity/Q952409	Joyce Stewart
http://www.wikidata.org/entity/Q961872	Nathalie Zajde
http://www.wikidata.org/entity/Q987925	Edit Egri
http://www.wikidata.org/entity/Q990345	Zsuzsanna Erdélyi
http://www.wikidata.org/entity/Q1019031	Bärbel Kramer
http://www.wikidata.org/entity/Q1030892	Márta Gábos
http://www.wikidata.org/entity/Q1044238	Carola Lentz
http://www.wikidata.org/entity/Q1044578	Caroline Vander Stichele
http://www.wikidata.org/entity/Q1067188	Charlotte Fränkel
http://www.wikidata.org/entity/Q1078089	Christa Katharina Spieß
http://www.wikidata.org/entity/Q1078324	Christel Offermann-Clas
http://www.wikidata.org/entity/Q1082643	Christiane Dehl-von Kaenel
http://www.wikidata.org/entity/Q902059	Darina Bialeková
http://www.wikidata.org/entity/Q916204	Brigitte Dahlbender
http://www.wikidata.org/entity/Q916312	Brigitte Halbmayr
http://www.wikidata.org/entity/Q916373	Brigitte Jockusch
http://www.wikidata.org/entity/Q1000044	Sylvia Bayr-Klimpfinger
http://www.wikidata.org/entity/Q1029285	Anne Roselle
http://www.wikidata.org/entity/Q1077716	Chris Rupp
http://www.wikidata.org/entity/Q1078172	Christa Reich
http://www.wikidata.org/entity/Q1078292	Christel Hausding
http://www.wikidata.org/entity/Q1082639	Christiane Burbach
http://www.wikidata.org/entity/Q916263	Brigitte Freyer-Schauenburg
http://www.wikidata.org/entity/Q916304	Brigitte Groneberg
http://www.wikidata.org/entity/Q916751	Brigitte Annemarie Walz
http://www.wikidata.org/entity/Q987327	Ilona E. Szabó
http://www.wikidata.org/entity/Q1007841	Erzsébet Galántai
http://www.wikidata.org/entity/Q1032272	Catharina de Habsbourg
http://www.wikidata.org/entity/Q1051052	Catherine Trümpy
http://www.wikidata.org/entity/Q1051119	Cathrin Pichler
http://www.wikidata.org/entity/Q1078306	Christel Kasselmann
http://www.wikidata.org/entity/Q1078305	Christel Humme
http://www.wikidata.org/entity/Q916180	Brigitte Borell
http://www.wikidata.org/entity/Q916491	Brigitte Lämmle
http://www.wikidata.org/entity/Q925298	Sílvia Cóppulo
http://www.wikidata.org/entity/Q998855	Ilse Storb
http://www.wikidata.org/entity/Q1010377	Erzsébet Gidai
http://www.wikidata.org/entity/Q1035567	Alice Hermann
http://www.wikidata.org/entity/Q1043536	Carmela Baffioni
http://www.wikidata.org/entity/Q1067254	Charlotte Leubuscher
http://www.wikidata.org/entity/Q1082642	Christiane Busch-Lüty
http://www.wikidata.org/entity/Q902852	Antonina De Gerando
http://www.wikidata.org/entity/Q916486	Brigitte Lohrke-Farhatyar
http://www.wikidata.org/entity/Q955615	Paula Quintana
http://www.wikidata.org/entity/Q972198	Raffaella Di Marzio
http://www.wikidata.org/entity/Q1000622	Zsuzsa Ferge
http://www.wikidata.org/entity/Q1034831	Sára Hegmanné Nemes
http://www.wikidata.org/entity/Q1067117	Charlotte Blensdorf
http://www.wikidata.org/entity/Q1078027	Christa Bertag
http://www.wikidata.org/entity/Q1078097	Christa Kolodej
http://www.wikidata.org/entity/Q1031774	Irén Júlia Götz
http://www.wikidata.org/entity/Q1033712	Irén Hantz Lám
http://www.wikidata.org/entity/Q1109899	Q1109899
http://www.wikidata.org/entity/Q1120241	Q1120241
http://www.wikidata.org/entity/Q1159934	Q1159934
http://www.wikidata.org/entity/Q1082859	Christiane Vorster
