item	label
http://www.wikidata.org/entity/Q28737808	biblioteca del Landtag de Baden-Württemberg
http://www.wikidata.org/entity/Q16374	Sanskar Kendra
http://www.wikidata.org/entity/Q2101216	Polesden Lacey
http://www.wikidata.org/entity/Q675617	Arxius Literaris Suïssos
http://www.wikidata.org/entity/Q3316008	Woolsthorpe Manor
http://www.wikidata.org/entity/Q2188329	Upton House, Warwickshire
http://www.wikidata.org/entity/Q5001321	Buscot Park
http://www.wikidata.org/entity/Q1969012	Palau Sa'dabad
http://www.wikidata.org/entity/Q1968661	Museu Narodowe, Gdańsk
http://www.wikidata.org/entity/Q2748017	Temple Newsam
http://www.wikidata.org/entity/Q28739330	ATZ Entwicklungszentrum, Bibliothek
http://www.wikidata.org/entity/Q5015765	Cabot's Pueblo Museum
http://www.wikidata.org/entity/Q1319192	Museu Nacional d'Art de Romania
http://www.wikidata.org/entity/Q35991284	Harry F. Byrd, Sr. Visitor Center
http://www.wikidata.org/entity/Q35985530	Dickey Ridge Visitor Center
http://www.wikidata.org/entity/Q52485436	Biblioteca del MACBA
http://www.wikidata.org/entity/Q36363000	Lindsay Warren Visitor Center
http://www.wikidata.org/entity/Q51003063	Biblioteca Mercè Rodoreda
http://www.wikidata.org/entity/Q42800691	DAHR
http://www.wikidata.org/entity/Q51002577	Biblioteca Salvador Raurich
http://www.wikidata.org/entity/Q51003561	Biblioteca Pere Blasi
http://www.wikidata.org/entity/Q41390561	Hutzlerhaus
http://www.wikidata.org/entity/Q43051358	Le Toboggan
http://www.wikidata.org/entity/Q27901	Arxiu musical d'Alemanya
http://www.wikidata.org/entity/Q51003386	Biblioteca Octavi Viader i Margarit
http://www.wikidata.org/entity/Q39934978	ETH Zurich University Archives
http://www.wikidata.org/entity/Q54782544	Biblioteca i Arxius del Museu de Belles Arts del Canadà
http://www.wikidata.org/entity/Q731635	Mount Vernon
http://www.wikidata.org/entity/Q5754024	Casa-Museo Tomás Morales
http://www.wikidata.org/entity/Q564578	Frogmore House
http://www.wikidata.org/entity/Q636746	MiQua. LVR-Jüdisches Museum im Archäologischen Quartier Köln
http://www.wikidata.org/entity/Q441079	Althorp
http://www.wikidata.org/entity/Q475394	Antikensammlung Berlin
http://www.wikidata.org/entity/Q549696	Museu de Palència
http://www.wikidata.org/entity/Q4798437	Arxius Nacionals d'Islàndia
http://www.wikidata.org/entity/Q9698061	Casa Colombo
http://www.wikidata.org/entity/Q5481014	Casa-Museo Antonio Padrón
http://www.wikidata.org/entity/Q5755628	Casa museu de Blas Infante
http://www.wikidata.org/entity/Q2860553	Arxiu Nacional de Finlàndia
http://www.wikidata.org/entity/Q55285533	Sala de Lectura de Can Deu
http://www.wikidata.org/entity/Q55286151	Biblioteca Miquel Carreras
http://www.wikidata.org/entity/Q55418565	Biblioteca dels Jutjats de Sabadell
http://www.wikidata.org/entity/Q55286099	Biblioteca dels Safareigs
http://www.wikidata.org/entity/Q55418584	Biblioteca Judicial de Barcelona (Comarques)
http://www.wikidata.org/entity/Q55286185	Biblioteca pública de Gràcia
http://www.wikidata.org/entity/Q55286439	Biblioteca del Sud
http://www.wikidata.org/entity/Q55286488	Biblioteca de La Serra
http://www.wikidata.org/entity/Q55418595	Biblioteca de la Cambra Oficial de Comerç i Indústria de Sabadell
http://www.wikidata.org/entity/Q55418642	Biblioteca del Gremi de Fabricants de Sabadell
http://www.wikidata.org/entity/Q55418693	Biblioteca Universitària de Sabadell
http://www.wikidata.org/entity/Q55418842	Biblioteca de l'Escola Superior de Disseny
http://www.wikidata.org/entity/Q55286004	Sala de Lectura de Can Rull
http://www.wikidata.org/entity/Q55418886	Biblioteca de l'Arxiu Històric de Sabadell
http://www.wikidata.org/entity/Q55285828	Biblioteca de Ponent
http://www.wikidata.org/entity/Q63241092	Biblioteca Bernard Lesfargues
http://www.wikidata.org/entity/Q1285144	Knole House
http://www.wikidata.org/entity/Q7088887	Olveston
http://www.wikidata.org/entity/Q2901310	biblioteca Saint-Sulpice
http://www.wikidata.org/entity/Q636861	Archäologisches Landesmuseum Baden-Württemberg
http://www.wikidata.org/entity/Q1443802	Hampton Court
http://www.wikidata.org/entity/Q17535638	Blickling Hall
http://www.wikidata.org/entity/Q509	Musèu galloroman de Fourvière
http://www.wikidata.org/entity/Q58810563	Biblioteca Bernat Lesfargues
http://www.wikidata.org/entity/Q1624722	Holkham Hall
http://www.wikidata.org/entity/Q39628	Bibliothèque et Archives nationales du Québec
http://www.wikidata.org/entity/Q66862818	Biblioteca de la Universitat de València
http://www.wikidata.org/entity/Q67130812	Biblioteca de la Universitat Pompeu Fabra
http://www.wikidata.org/entity/Q182542	Arxius Nacionals de França
http://www.wikidata.org/entity/Q4533056	Museu Etnològic d'Ankara
http://www.wikidata.org/entity/Q201787	Biblioteca Nacional de Suïssa
http://www.wikidata.org/entity/Q631808	Biblioteca Nacional d'Aruba
http://www.wikidata.org/entity/Q1063819	Biblioteca Nacional d'Hongria
