item	itemLabel	enarticle
http://www.wikidata.org/entity/Q214757	Gertrude Neumark	https://en.wikipedia.org/wiki/Gertrude_Neumark
http://www.wikidata.org/entity/Q215379	Dagmar Schipanski	https://en.wikipedia.org/wiki/Dagmar_Schipanski
http://www.wikidata.org/entity/Q215888	Gesine Schwan	https://en.wikipedia.org/wiki/Gesine_Schwan
http://www.wikidata.org/entity/Q218308	Zofia Lissa	https://en.wikipedia.org/wiki/Zofia_Lissa
http://www.wikidata.org/entity/Q220553	Ildikó Pelczné Gáll	https://en.wikipedia.org/wiki/Ildik%C3%B3_Pelczn%C3%A9_G%C3%A1ll
http://www.wikidata.org/entity/Q222870	Annette Becker	https://en.wikipedia.org/wiki/Annette_Becker
http://www.wikidata.org/entity/Q229333	Sayako Kuroda	https://en.wikipedia.org/wiki/Sayako_Kuroda
http://www.wikidata.org/entity/Q229520	Raisa Gorbacheva	https://en.wikipedia.org/wiki/Raisa_Gorbacheva
http://www.wikidata.org/entity/Q234335	Jane Jacobs	https://en.wikipedia.org/wiki/Jane_Jacobs
http://www.wikidata.org/entity/Q235708	Tamara Mikhaylovna Smirnova	https://en.wikipedia.org/wiki/Tamara_Smirnova
http://www.wikidata.org/entity/Q238419	Wafa Sultan	https://en.wikipedia.org/wiki/Wafa_Sultan
http://www.wikidata.org/entity/Q242809	Lyudmila Karachkina	https://en.wikipedia.org/wiki/Lyudmila_Karachkina
http://www.wikidata.org/entity/Q243070	Juliet Rhys-Williams	https://en.wikipedia.org/wiki/Juliet_Rhys-Williams
http://www.wikidata.org/entity/Q242613	Jane Jensen	https://en.wikipedia.org/wiki/Jane_Jensen
http://www.wikidata.org/entity/Q242625	Mary Ainsworth	https://en.wikipedia.org/wiki/Mary_Ainsworth
http://www.wikidata.org/entity/Q245991	Anna Weizmann	https://en.wikipedia.org/wiki/Anna_Weizmann
http://www.wikidata.org/entity/Q251782	Lucia Hippolito	https://en.wikipedia.org/wiki/Lucia_Hippolito
http://www.wikidata.org/entity/Q252673	Basimah Yusuf Butrus	https://en.wikipedia.org/wiki/Basimah_Yusuf_Butrus
http://www.wikidata.org/entity/Q255335	Connie Booth	https://en.wikipedia.org/wiki/Connie_Booth
